"시도명",시군구명,측정연도,지하철호선명,지하철역사명,측정위치,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,관리기관명,데이터기준일자
"서울특별시",중구,2022,1호선,서울역(1),승강장 및 대합실,39.9,27.3,566,11.5,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,1호선,시청(1),승강장 및 대합실,83.5,34.9,545,12,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,1호선,종각,승강장 및 대합실,110,58,500,12.2,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,1호선,종로3가(1),승강장 및 대합실,96,44.6,507,10.3,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,1호선,종로5가,승강장 및 대합실,73.2,37.6,525,8.1,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,1호선,동대문(1),승강장 및 대합실,96.6,54,585,7.9,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,1호선,동묘앞(1),승강장 및 대합실,34.3,22.4,457,4.7,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",동대문구,2022,1호선,신설동(1),승강장 및 대합실,64.8,31,517,6.9,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",동대문구,2022,1호선,제기동,승강장 및 대합실,71,36.2,442,4.2,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",동대문구,2022,1호선,청량리,승강장 및 대합실,56.8,33.1,452,6,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,2호선,시청(2),승강장 및 대합실,63.2,37.4,522,7.2,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,2호선,을지로입구,승강장 및 대합실,54.4,35.3,474,6.9,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,2호선,을지로3가(2),승강장 및 대합실,53.9,28.9,602,10.6,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,2호선,을지로4가(2),승강장 및 대합실,54.9,30.4,461,9.4,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,2호선,동대문역사문화공원(2),승강장 및 대합실,39,26.4,527,9.5,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,2호선,신당(2),승강장 및 대합실,45.6,18.7,483,10,1,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,2호선,상왕십리,승강장 및 대합실,59.3,30.9,466,8.3,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,2호선,왕십리(2),승강장 및 대합실,35.1,20.3,490,8.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",성동구,2022,2호선,잠실(2),승강장 및 대합실,35.3,24.3,546,7,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,2호선,잠실새내,승강장 및 대합실,34.1,20.2,439,5.4,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",송파구,2022,2호선,종합운동장(2),승강장 및 대합실,24.4,16.8,451,6.6,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,2호선,삼성,승강장 및 대합실,25.7,16.2,495,6.5,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",강남구,2022,2호선,선릉,승강장 및 대합실,46.8,26.8,513,8,0.9,0,0,0,서울교통공사,2023-07-11
