사용일자,호선명,역명,승차승객수,하차승객수
2022-01-01,1호선,신설동,4939,4733
2022-01-01,1호선,동대문,6486,6390
2022-01-01,1호선,종로5가,7975,7922
2022-01-01,1호선,서울역,18398,16926
2022-01-01,1호선,동묘앞,7240,7366
2022-01-01,1호선,시청,5604,5006
2022-01-01,1호선,종각,9977,8864
2022-01-01,1호선,종로3가,11017,9630
2022-01-01,1호선,청량리,9400,9553
2022-01-01,1호선,제기동,7244,7259
2022-01-02,1호선,청량리,10719,10816
2022-01-02,1호선,제기동,7793,8559
2022-01-02,1호선,신설동,5989,6218
2022-01-02,1호선,종로5가,7065,7156
2022-01-02,1호선,종로3가,11357,10036
2022-01-02,1호선,종각,10056,8862
2022-01-02,1호선,시청,5933,5744
2022-01-02,1호선,동묘앞,10028,10292
2022-01-02,1호선,서울역,26464,20031
2022-01-02,1호선,동대문,7925,7654
2022-01-03,1호선,종각,33790,32789
2022-01-03,1호선,시청,19725,19839
2022-01-03,1호선,동묘앞,6324,6598
2022-01-03,1호선,서울역,40413,36361
2022-01-03,1호선,청량리,17754,17906
2022-01-03,1호선,제기동,15506,15998
2022-01-03,1호선,신설동,12680,12483
2022-01-03,1호선,동대문,8844,8651
2022-01-03,1호선,종로5가,20166,19926
2022-01-03,1호선,종로3가,23162,21718
2022-01-04,1호선,서울역,39092,36147
2022-01-04,1호선,동묘앞,6868,7110
2022-01-04,1호선,시청,21043,21137
2022-01-04,1호선,종각,33848,32900
2022-01-04,1호선,종로3가,23970,22267
2022-01-04,1호선,종로5가,21139,20766
2022-01-04,1호선,동대문,10058,9421
2022-01-04,1호선,신설동,12888,12612
2022-01-04,1호선,제기동,16388,16850
2022-01-04,1호선,청량리,18462,18619
2022-01-05,1호선,시청,21174,21287
2022-01-05,1호선,동묘앞,6762,7136
2022-01-05,1호선,서울역,38744,36262
2022-01-05,1호선,종로3가,24322,22268
2022-01-05,1호선,종로5가,21062,20595
2022-01-05,1호선,동대문,9999,9324
2022-01-05,1호선,신설동,13140,12803
2022-01-05,1호선,제기동,16043,16367
2022-01-05,1호선,청량리,18158,18070
2022-01-05,1호선,종각,33946,33241
2022-01-06,1호선,서울역,40340,38347
2022-01-06,1호선,동묘앞,6982,7278
2022-01-06,1호선,시청,21276,21242
2022-01-06,1호선,종각,34091,33098
2022-01-06,1호선,종로3가,24996,22827
2022-01-06,1호선,종로5가,21472,21415
2022-01-06,1호선,동대문,10266,9601
2022-01-06,1호선,신설동,13285,12895
2022-01-06,1호선,제기동,17035,17370
2022-01-06,1호선,청량리,18919,18856
2022-01-07,1호선,동대문,10577,9613
2022-01-07,1호선,동묘앞,7400,7679
2022-01-07,1호선,서울역,43576,42324
2022-01-07,1호선,시청,21016,21220
2022-01-07,1호선,신설동,13673,13125
2022-01-07,1호선,제기동,17405,17836
2022-01-07,1호선,종각,34088,33298
2022-01-07,1호선,종로3가,25665,23798
2022-01-07,1호선,종로5가,22208,22010
2022-01-07,1호선,청량리,19858,19994
2022-01-08,1호선,서울역,27185,26970
2022-01-08,1호선,동묘앞,10262,10670
2022-01-08,1호선,시청,9385,9665
2022-01-08,1호선,종각,16933,15881
2022-01-08,1호선,종로3가,21271,18898
2022-01-08,1호선,종로5가,16802,17017
2022-01-08,1호선,동대문,9733,8988
2022-01-08,1호선,신설동,9082,8464
2022-01-08,1호선,제기동,14978,15170
2022-01-08,1호선,청량리,16624,17094
2022-01-09,1호선,서울역,22698,20411
2022-01-09,1호선,동묘앞,10902,11103
2022-01-09,1호선,시청,6426,6014
2022-01-09,1호선,종각,10970,9660
2022-01-09,1호선,종로3가,12373,11030
2022-01-09,1호선,종로5가,8055,8048
2022-01-09,1호선,동대문,8011,8290
2022-01-09,1호선,신설동,6894,6916
2022-01-09,1호선,제기동,9346,9753
2022-01-09,1호선,청량리,11579,11717
2022-01-10,1호선,청량리,19105,19182
2022-01-10,1호선,제기동,17374,17838
2022-01-10,1호선,신설동,13445,13034
2022-01-10,1호선,동대문,10169,9667
2022-01-10,1호선,종로5가,21434,21249
2022-01-10,1호선,종로3가,24887,22972
2022-01-10,1호선,종각,34149,32860
2022-01-10,1호선,시청,20759,20958
2022-01-10,1호선,동묘앞,6756,7002
2022-01-10,1호선,서울역,41049,39058
2022-01-11,1호선,청량리,17880,17908
2022-01-11,1호선,제기동,15156,15468
2022-01-11,1호선,신설동,12847,12527
2022-01-11,1호선,동대문,9740,9100
2022-01-11,1호선,종로5가,21316,20888
2022-01-11,1호선,종로3가,23828,21952
2022-01-11,1호선,종각,34616,33532
